begin_date	id	first_name	last_name	email_address	birthdate	customer_status_id	phone_number
2017-06-19	42	Janice	Bell	JaniceBell@gmail.com	1960-01-15	1	+17135819079
2021-07-30	43	Anna	Wagner	AnnaWagner@gmail.com	1976-10-17	2	+12140613365
2021-07-14	44	Micah	Doerr	MicahDoerr@gmail.com	1975-05-19	2	+12815653375
2005-04-06	45	John	Zemel	JohnZemel@gmail.com	1985-07-16	1	+13259878535
2021-05-13	46	Lisa	Kmiecik	LisaKmiecik@gmail.com	1980-12-09	3	+19722799147
2021-08-22	47	Stacy	White	StacyWhite@gmail.com	1972-04-11	1	+15121596321
2015-04-24	48	Danielle	Lee	DanielleLee@gmail.com	1966-06-29	1	+18175652039
2021-08-27	49	Blanca	Kahn	BlancaKahn@gmail.com	1980-08-09	2	+18179599056
2021-10-17	50	Richard	Leach	RichardLeach@gmail.com	1986-03-16	2	+15120498057
2003-04-02	51	Ellen	Lewis	EllenLewis@gmail.com	1968-08-02	1	+16822934535
2021-07-09	52	Erik	Maditz	ErikMaditz@gmail.com	1978-12-19	1	+14690865494
2020-12-06	53	Sheldon	Farmer	SheldonFarmer@gmail.com	1968-06-27	1	+19792407486
2019-02-15	54	Jin	Danielson	JinDanielson@gmail.com	1988-08-23	2	+18063148711
2019-03-10	55	Rosa	Thuss	RosaThuss@gmail.com	1968-03-19	1	+18067604177
2021-06-10	56	John	Drummond	JohnDrummond@gmail.com	1960-06-09	2	+19369769120
2021-07-22	57	Mavis	Vess	MavisVess@gmail.com	1987-06-25	1	+12143705647
2021-03-25	58	Andrew	Sheldon	AndrewSheldon@gmail.com	1964-01-02	1	+19727544271
2021-06-07	59	Benny	Sanders	BennySanders@gmail.com	1972-06-13	2	+19402291822
2021-12-01	60	Cindy	Thomas	CindyThomas@gmail.com	1967-12-07	2	+12106628231
2021-10-12	61	Marcella	Roberts	MarcellaRoberts@gmail.com	1984-08-25	1	+12109081619
2020-10-05	62	Renee	Stubbs	ReneeStubbs@gmail.com	1975-03-29	2	+19723149635
2011-09-16	63	Florence	Thompson	FlorenceThompson@gmail.com	1979-01-28	1	+14092130314
2021-02-19	64	Theresa	Brown	TheresaBrown@gmail.com	1978-12-02	1	+19031491505
2018-07-02	65	Rosario	Chambley	RosarioChambley@gmail.com	1965-08-24	1	+18308112394
2019-03-23	66	Cynthia	Hazelton	CynthiaHazelton@gmail.com	1984-09-06	1	+19724342158
2021-06-19	67	Jon	Neff	JonNeff@gmail.com	1963-02-14	1	+18170053755
2008-04-10	68	Steven	Bolton	StevenBolton@gmail.com	1975-12-22	1	+18060407043
2021-09-22	69	Ron	Velez	RonVelez@gmail.com	1978-03-19	2	+19797982871
2020-12-10	70	Frank	Caron	FrankCaron@gmail.com	1984-02-10	1	+19406264764
2017-05-26	71	Tim	Olson	TimOlson@gmail.com	1986-06-20	2	+19404881635
2017-06-14	72	Larry	Dellinger	LarryDellinger@gmail.com	1963-04-15	3	+13255973993
2018-01-21	73	Jesus	Capobianco	JesusCapobianco@gmail.com	1986-10-24	3	+19152829433
2018-07-29	74	Enid	Guido	EnidGuido@gmail.com	1980-06-30	1	+19156697161
2008-01-19	75	Vickie	Mcbee	VickieMcbee@gmail.com	1960-09-07	1	+19798742313
2021-06-12	76	Gerald	Scott	GeraldScott@gmail.com	1964-06-26	1	+14324925413
2020-02-06	77	John	Brosnan	JohnBrosnan@gmail.com	1966-07-06	1	+19407852991
2020-08-21	78	Pedro	Aurand	PedroAurand@gmail.com	1970-03-27	3	+19361867727
2005-08-01	79	Carol	Ronn	CarolRonn@gmail.com	1966-12-29	1	+14695036118
2021-02-12	80	Doris	Ballinger	DorisBallinger@gmail.com	1986-10-28	2	+12810190547
2021-03-27	81	Anthony	Suarez	AnthonySuarez@gmail.com	1989-08-15	1	+19560730571
2007-09-10	82	Steven	Gallman	StevenGallman@gmail.com	1989-09-25	1	+12102401204
2017-07-19	83	William	Williams	WilliamWilliams@gmail.com	1961-01-04	1	+12540482942
2021-07-07	84	Shari	Mckenna	ShariMckenna@gmail.com	1967-08-27	3	+18302453422
2020-02-21	85	Larry	Cropley	LarryCropley@gmail.com	1980-10-24	1	+15120130849
2019-10-20	86	Yvonne	Frentzel	YvonneFrentzel@gmail.com	1988-05-10	2	+14094948713
2016-07-18	87	Louise	Vannoy	LouiseVannoy@gmail.com	1963-03-26	3	+14697254565
2021-02-17	88	Mike	Chauez	MikeChauez@gmail.com	1967-03-26	2	+13251271966
2018-01-11	89	Stephen	Sims	StephenSims@gmail.com	1968-11-14	2	+19724906294
2021-09-20	90	Jack	Cargile	JackCargile@gmail.com	1970-11-24	1	+18327800138
2017-06-14	91	Antonietta	King	AntoniettaKing@gmail.com	1988-08-14	1	+17130304241
2015-01-27	92	Bobbie	Moore	BobbieMoore@gmail.com	1967-04-27	3	+19565745935
2017-08-13	93	Rhonda	Turner	RhondaTurner@gmail.com	1963-07-07	2	+14304207173
2017-03-21	94	John	Barron	JohnBarron@gmail.com	1975-06-22	1	+19032047753
2018-05-28	95	Beverly	Jacob	BeverlyJacob@gmail.com	1986-03-21	1	+13617918820
2021-07-02	96	Marsha	Holston	MarshaHolston@gmail.com	1972-05-05	1	+14326148534
2007-07-13	97	Monica	Holohan	MonicaHolohan@gmail.com	1976-06-20	2	+19563826461
2020-06-07	98	Robert	Burke	RobertBurke@gmail.com	1975-07-29	1	+18067117327
2016-10-25	99	Whitney	Tofil	WhitneyTofil@gmail.com	1975-04-24	2	+15120809440
2018-04-30	100	Erica	Young	EricaYoung@gmail.com	1969-04-01	1	+12108297498
